Item,Size,Report Category,SKU,Qty,Net,Gross
1944 MAI TAI,SINGLE,ALCOHOL,,5046,"$63,113.00 ","$65,598.00 "
1944 MAI TAI,DOUBLE,ALCOHOL,,17,$330.00 ,$340.00 
Blood Moon,SINGLE,ALCOHOL,,1431,"$19,319.00 ","$20,034.00 "
Blood Moon,DOUBLE,ALCOHOL,,5,$103.00 ,$105.00 
Courageous Koi,SINGLE,ALCOHOL,,990,"$12,441.60 ","$12,870.00 "
Courageous Koi,DOUBLE,ALCOHOL,,3,$57.00 ,$57.00 
Dragon's Bite,SINGLE,ALCOHOL,,1702,"$19,653.40 ","$20,424.00 "
Dragon's Bite,DOUBLE,ALCOHOL,,9,$167.00 ,$171.00 
Hawaiian MAI TAI,SINGLE,ALCOHOL,,4582,"$52,986.40 ","$54,984.00 "
Hawaiian MAI TAI,DOUBLE,ALCOHOL,,9,$152.00 ,$162.00 
Juicy Fruit,SINGLE,ALCOHOL,,718,"$8,256.70 ","$8,616.00 "
Juicy Fruit,DOUBLE,ALCOHOL,,2,$34.00 ,$38.00 
Kahanamoku,SINGLE,ALCOHOL,,1438,"$16,620.20 ","$17,256.00 "
Kahanamoku,DOUBLE,ALCOHOL,,3,$52.00 ,$54.00 
Lychee Martini,SINGLE,ALCOHOL,,1482,"$17,060.80 ","$17,784.00 "
Lychee Martini,DOUBLE,ALCOHOL,,2,$34.00 ,$36.00 
Makai Margarita,SINGLE,ALCOHOL,,3776,"$43,400.70 ","$45,312.00 "
Makai Margarita,DOUBLE,ALCOHOL,,26,$458.00 ,$468.00 
Mermaid's Kiss,SINGLE,ALCOHOL,,1115,"$13,992.60 ","$14,495.00 "
Mr. Makai,,ALCOHOL,,555,"$8,126.50 ","$8,325.00 "
Mr. Makai WITHOUT mug,,ALCOHOL,,1138,"$16,452.00 ","$17,070.00 "
Open Drink,,ALCOHOL,,85,$702.52 ,$924.52 
Painkiller,SINGLE,ALCOHOL,,3675,"$49,726.70 ","$51,450.00 "
Painkiller,DOUBLE,ALCOHOL,,18,$366.00 ,$378.00 
Punch To The Skull,,ALCOHOL,,511,"$7,453.50 ","$7,665.00 "
Punch to the Skull WITHOUT jar,,ALCOHOL,,413,"$5,151.10 ","$5,369.00 "
Saturn,SINGLE,ALCOHOL,,1120,"$12,916.80 ","$13,440.00 "
Saturn,DOUBLE,ALCOHOL,,6,$108.00 ,$108.00 
Scorpion Bowl,,ALCOHOL,,543,"$21,490.00 ","$21,720.00 "
Starry Daze,SINGLE,ALCOHOL,,368,"$4,280.00 ","$4,416.00 "
That One,SINGLE,ALCOHOL,,518,"$6,483.40 ","$6,734.00 "
The Bonzer,SINGLE,ALCOHOL,,812,"$9,393.20 ","$9,744.00 "
Unusual Suspects,SINGLE,ALCOHOL,,899,"$10,360.80 ","$10,788.00 "
Unusual Suspects,DOUBLE,ALCOHOL,,1,$19.00 ,$19.00 
Walking Dead,SINGLE,ALCOHOL,,2124,"$24,558.60 ","$25,488.00 "
