ITEMS Thu 12-01-2022 - Sat 12-31-2022,,,,,,
Item,Size,Report Category,SKU,Qty,Net,Gross
$50 Gift Card,,GIFT CARDS & CERTS,,13,$600.00,$650.00
$75 Gift Card,,GIFT CARDS & CERTS,,7,$525.00,$525.00
1944 MAI TAI,SINGLE,ALCOHOL,,578,"$7,157.00","$7,514.00"
1944 MAI TAI,DOUBLE,ALCOHOL,,2,$38.00,$40.00
1944 Tumbler,,MERCH-- MUGS,,18,$268.50,$270.00
Absolut Citron,SINGLE,ALCOHOL,,3,$21.00,$21.00
Ace Pineapple Cider,,BEER,,21,$139.00,$147.00
Ahi Sliders,,FOOD,,244,"$3,707.15","$3,969.50"
Aloha Boston Clam Chowder- Bowl,,FOOD,,173,"$1,935.00","$1,935.00"
Aloha Boston Clam Chowder- Cup,,FOOD,,257,"$2,058.60","$2,078.00"
Angeline Ros̩,GLASS,WINE,,18,$140.00,$144.00
Angeline Ros̩ Bottle,,WINE,,1,$28.00,$28.00
Apple Juice,,NON ALCOHOL,,30,$150.00,$150.00
Appleton 8 Year,SINGLE,ALCOHOL,,1,$9.00,$9.00
Appleton Estate 12 Year,SINGLE,ALCOHOL,,1,$11.00,$11.00
Appleton Signature Blend,SINGLE,ALCOHOL,,6,$42.00,$42.00
Arnold Palmer,,NON ALCOHOL,,13,$39.00,$39.00
Avocado Side,,FOOD,,3,$3.00,$9.00
Bacon Side,,FOOD,,20,$27.00,$60.00
Bailey's Irish Cream,SINGLE,ALCOHOL,,2,$14.00,$14.00
Banana Pudding,,FOOD,,61,$472.00,$488.00
Batiste Rhum Gold,SINGLE,ALCOHOL,,1,$8.00,$8.00
Benchmark Whiskey,SINGLE,ALCOHOL,,1,$6.00,$6.00
Big Swell IPA Maui,,DRAFT BEER,,216,"$1,606.00","$1,728.00"
Black Russian,SINGLE,ALCOHOL,,1,$10.00,$10.00
Black Tot Rum,SINGLE,ALCOHOL,,1,$15.00,$15.00
Blackbeard's Ghost,SINGLE,ALCOHOL,,6,$72.00,$72.00
Blood Moon,SINGLE,ALCOHOL,,153,"$2,043.80","$2,142.00"
Bloody Mary,SINGLE,ALCOHOL,,49,$392.00,$392.00
Blue Hawaiian,SINGLE,ALCOHOL,,4,$40.00,$40.00
Bok Choy,,FOOD,,25,$175.00,$175.00
Bombay Saphire,SINGLE,ALCOHOL,,12,$104.00,$104.00
Botran 1893,SINGLE,ALCOHOL,,1,$8.00,$8.00
Bulleit Bourbon,SINGLE,ALCOHOL,,23,$238.00,$238.00
Bulleit Bourbon,DOUBLE,ALCOHOL,,1,$15.00,$15.00
Bulleit Rye,SINGLE,ALCOHOL,,7,$76.00,$76.00
Buttered Macaroni,,FOOD,,75,$525.00,$525.00
CAESAR SALAD,,FOOD,,85,"$1,232.00","$1,322.00"
Cadillac Margarita,SINGLE,ALCOHOL,,7,$84.00,$84.00
Cali Squeeze,,DRAFT BEER,,107,$800.00,$856.00
Cazadores Reposado,SINGLE,ALCOHOL,,20,$162.00,$162.00
Chicken Lettuce Wraps,,FOOD,,164,"$2,355.50","$2,460.00"
Chicken Tenders,,FOOD,,114,$754.60,$798.00
Clam Scampi,,FOOD,,61,"$1,044.00","$1,098.00"
Clam Scampi,,,,3,$54.00,$54.00
Coconut Gelato,,FOOD,,22,$77.50,$110.00
Coconut Prawns,,FOOD,,468,"$7,541.40","$7,956.00"
