Item,Size,Report Category,SKU,Qty,Net,Gross
Bombay Saphire,,ALCOHOL,,15,$126.00 ,$126.00 
Bombay Saphire,SINGLE,ALCOHOL,,347,"$3,012.00 ","$3,012.00 "
Bombay Saphire,DOUBLE,ALCOHOL,,20,$240.00 ,$240.00 
Gray Whale Gin,SINGLE,ALCOHOL,,23,$217.00 ,$217.00 
Gray Whale Gin,DOUBLE,ALCOHOL,,2,$28.00 ,$28.00 
Hendrick's,,ALCOHOL,,14,$143.00 ,$143.00 
Hendrick's,SINGLE,ALCOHOL,,245,"$2,622.00 ","$2,624.00 "
Hendrick's,DOUBLE,ALCOHOL,,9,$135.00 ,$135.00 
New Amsterdam Gin,SINGLE,ALCOHOL,,333,"$2,470.80 ","$2,489.00 "
New Amsterdam Gin,DOUBLE,ALCOHOL,,10,$108.50 ,$108.50 
Tanqueray,,ALCOHOL,,10,$79.00 ,$79.00 
Tanqueray,SINGLE,ALCOHOL,,220,"$2,302.00 ","$2,302.00 "
Tanqueray,DOUBLE,ALCOHOL,,13,$180.00 ,$197.00 
Venus Blend No. 1,,ALCOHOL,,4,$34.00 ,$34.00 
Venus Blend No. 1,SINGLE,ALCOHOL,,250,"$2,316.00 ","$2,318.00 "
Venus Blend No. 1,DOUBLE,ALCOHOL,,11,$154.00 ,$154.00 
Total,,,,1526,"$14,167.30 ","$14,206.50 "
