ITEMS Fri 07-01-2022 - Fri 01-06-2023,,,,,,
Item,Size,Report Category,SKU,Qty,Net,Gross
$50 Gift Card,,GIFT CARDS & CERTS,,29,"$1,100.00","$1,450.00"
$75 Gift Card,,GIFT CARDS & CERTS,,15,$900.00,"$1,125.00"
*Split Plate Charge,,FOOD,,3,$6.00,$6.00
1944 MAI TAI,SINGLE,ALCOHOL,,5040,"$63,045.00","$65,520.00"
1944 MAI TAI,DOUBLE,ALCOHOL,,17,$330.00,$340.00
1944 Tumbler,,MERCH-- MUGS,,264,"$3,958.50","$3,960.00"
Absolut Citron,SINGLE,ALCOHOL,,26,$188.00,$188.00
Absolut Citron,DOUBLE,ALCOHOL,,3,$33.00,$33.00
Ace Pineapple Cider,,BEER,,221,"$1,447.00","$1,547.00"
Ahi Sliders,,FOOD,,1990,"$28,966.95","$30,522.00"
Ahi Sliders Tray,,FOOD,,2,$160.00,$160.00
Aloha Boston Clam Chowder- Bowl,,FOOD,,1657,"$16,573.50","$16,579.00"
Aloha Boston Clam Chowder- Cup,,FOOD,,2559,"$17,727.80","$17,785.00"
Americano,SINGLE,NON ALCOHOL,,1,$4.00,$4.00
Angeline Ros̩,GLASS,WINE,,296,"$2,272.00","$2,368.00"
Angeline Ros̩,BOTTLE,WINE,,4,$120.00,$120.00
Angeline Ros̩ Bottle,,WINE,,5,$140.00,$140.00
Aperol,SINGLE,ALCOHOL,,3,$26.00,$26.00
Aperol Spritz,SINGLE,ALCOHOL,,19,$171.00,$171.00
Apple Juice,,NON ALCOHOL,,322,"$1,196.00","$1,196.00"
Appleton 1994 Rum Hearts,SINGLE,ALCOHOL,,2,$124.00,$124.00
Appleton 8 Year,SINGLE,ALCOHOL,,4,$38.00,$38.00
Appleton 8 Year,DOUBLE,ALCOHOL,,1,$14.00,$14.00
Appleton Estate 12 Year,SINGLE,ALCOHOL,,11,$121.00,$121.00
Appleton Estate 21 Year,SINGLE,ALCOHOL,,1,$32.00,$32.00
Appleton Signature Blend,DOUBLE,ALCOHOL,,3,$36.00,$36.00
Appleton Signature Blend,SINGLE,ALCOHOL,,13,$93.00,$93.00
Arnold Palmer,,NON ALCOHOL,,157,$471.00,$471.00
Avocado Side,,FOOD,,23,$36.00,$69.00
BEEF STROGANOFF,,FOOD,,192,"$2,481.00","$2,880.00"
Bacardi 4 year,SINGLE,ALCOHOL,,6,$38.00,$38.00
Bacardi 8 Year,SINGLE,ALCOHOL,,3,$21.00,$21.00
Bacardi Silver,SINGLE,ALCOHOL,,3,$21.00,$21.00
Bacardi Spiced,SINGLE,ALCOHOL,,2,$20.00,$20.00
Bacon Side,,FOOD,,65,$87.00,$195.00
Bailey's Irish Cream,SINGLE,ALCOHOL,,18,$121.50,$121.50
Banana Pudding,,FOOD,,566,"$4,402.40","$4,528.00"
Banana Pudding TOGO,,FOOD,,84,$568.00,$672.00
Barbancourt 8yr,SINGLE,ALCOHOL,,3,$24.00,$24.00
Barbary Coast 100,SINGLE,ALCOHOL,,2,$20.00,$20.00
Barrell Private Release J860,SINGLE,ALCOHOL,,2,$50.00,$50.00
Batiste Rhum Gold,SINGLE,ALCOHOL,,2,$16.00,$16.00
Bayou Select,SINGLE,ALCOHOL,,1,$9.00,$9.00
Beef Skewer Tray,,FOOD,,2,$170.00,$170.00
Benchmark Whiskey,DOUBLE,ALCOHOL,,5,$45.00,$45.00
Benchmark Whiskey,SINGLE,ALCOHOL,,45,$302.80,$304.00
Big Swell IPA Maui,,DRAFT BEER,,1879,"$14,189.90","$15,032.00"
Black Russian,SINGLE,ALCOHOL,,2,$20.00,$20.00
Black Tot Rum,SINGLE,ALCOHOL,,2,$24.00,$28.00
Blackbeard's Ghost,SINGLE,ALCOHOL,,27,$324.00,$324.00
Blood Moon,SINGLE,ALCOHOL,,1429,"$19,291.00","$20,006.00"
Blood Moon,DOUBLE,ALCOHOL,,5,$103.00,$105.00
Bloody Mary,SINGLE,ALCOHOL,,333,"$2,661.60","$2,664.00"
Bloody Mary,DOUBLE,ALCOHOL,,12,$192.00,$192.00
Bloody Mary can(whiskey),,BEER,,7,$55.20,$56.00
Blue Hawaiian,SINGLE,ALCOHOL,,26,$260.00,$260.00
Bok Choy,,FOOD,,270,"$1,559.50","$1,566.00"
Bombay Saphire,SINGLE,ALCOHOL,,81,$718.00,$718.00
Bombay Saphire,DOUBLE,ALCOHOL,,11,$132.00,$132.00
Botran 1893,SINGLE,ALCOHOL,,1,$8.00,$8.00
Bottled Water,,NON ALCOHOL,,5,$15.00,$15.00
Brugal 1888,SINGLE,ALCOHOL,,7,$63.00,$63.00
Bulleit Bourbon,SINGLE,ALCOHOL,,132,"$1,418.00","$1,418.00"
Bulleit Bourbon,DOUBLE,ALCOHOL,,5,$75.00,$75.00
Bulleit Rye,SINGLE,ALCOHOL,,78,$880.00,$880.00
Bulleit Rye,DOUBLE,ALCOHOL,,4,$60.00,$60.00
Buttered Macaroni,,FOOD,,767,"$5,341.00","$5,369.00"
CAESAR SALAD,,FOOD,,900,"$12,936.20","$13,928.00"
Cadillac Margarita,SINGLE,ALCOHOL,,78,$936.00,$936.00
Cadillac Margarita,DOUBLE,ALCOHOL,,1,$18.00,$18.00
Cali Squeeze,,DRAFT BEER,,1187,"$8,949.40","$9,496.00"
Campari,SINGLE,ALCOHOL,,11,$77.00,$77.00
Cappuccino,SINGLE,NON ALCOHOL,,5,$22.50,$22.50
Cappuccino,DOUBLE,NON ALCOHOL,,2,$11.00,$11.00
Casamigos Rep,SINGLE,ALCOHOL,,20,$254.00,$254.00
Cazadores Reposado,SINGLE,ALCOHOL,,114,$894.50,$894.50
Cazadores Reposado,DOUBLE,ALCOHOL,,2,$22.00,$22.00
Chairman's Reserve 1931,SINGLE,ALCOHOL,,2,$44.00,$44.00
Chairman's Reserve Forgotten Casks St Lucia,SINGLE,ALCOHOL,,2,$24.00,$24.00
Chicken Lettuce Wraps,,FOOD,,1838,"$25,309.90","$26,534.00"
Chicken Tenders,,FOOD,,1499,"$10,102.40","$10,493.00"
Chocolate Gelato,,FOOD,,43,$139.50,$215.00
Clam Scampi,,FOOD,,72,"$1,233.00","$1,296.00"
Clam Scampi,,,,3,$54.00,$54.00
Clement 10 year,,ALCOHOL,,8,$136.00,$136.00
Clement VSOP,SINGLE,ALCOHOL,,6,$59.00,$60.00
Coconut Gelato,,FOOD,,298,"$1,042.50","$1,490.00"
Coconut Prawns,,FOOD,,4979,"$68,817.20","$72,927.00"
Coconut Prawns Tray,,FOOD,,2,$136.00,$136.00
Coffee,,NON ALCOHOL,,665,"$1,984.20","$1,995.00"
Convite Mezcal,SINGLE,ALCOHOL,,5,$54.00,$54.00
Coors Edge Non-alcoholic-Bottle,,NON ALCOHOL,,130,$732.00,$780.00
Coors Light,,BEER,,562,"$2,590.00","$2,810.00"
Corkage Fee,,WINE,,10,$94.00,$100.00
Cosmopolitan,SINGLE,ALCOHOL,,52,$520.00,$520.00
Courageous Koi,SINGLE,ALCOHOL,,987,"$12,406.60","$12,831.00"
Courageous Koi,DOUBLE,ALCOHOL,,3,$57.00,$57.00
Crab Rangoon,,FOOD,,2060,"$32,253.50","$32,776.00"
Crab Rangoon Tray,,FOOD,,4,$272.00,$272.00
Cranberry Juice,,NON ALCOHOL,,21,$79.00,$79.00
Crown Royal,SINGLE,ALCOHOL,,57,$454.00,$462.00
Crown Royal,DOUBLE,ALCOHOL,,9,$108.00,$108.00
Cutwater Three Sheets Aged,SINGLE,ALCOHOL,,1,$8.00,$8.00
Cyclops Cooler,SINGLE,ALCOHOL,,15,$172.80,$180.00
Dairy Free Vanilla Gelato (Coconut Milk),,FOOD,,12,$50.00,$60.00
Daquiri,SINGLE,ALCOHOL,,41,$410.00,$410.00
Dark And Stormy,SINGLE,ALCOHOL,,30,$270.00,$270.00
Denizen Aged White,SINGLE,ALCOHOL,,6,$37.20,$38.00
Denizen Aged White,DOUBLE,ALCOHOL,,4,$40.00,$40.00
Denizen Merchant reserve,SINGLE,ALCOHOL,,17,$138.00,$138.00
Denizen Vatted Dark,SINGLE,ALCOHOL,,10,$78.00,$80.00
Devil's Own Coconut Rum,SINGLE,ALCOHOL,,2,$26.00,$26.00
Devil's Own Hibiscus,SINGLE,ALCOHOL,,4,$52.00,$52.00
Devil's Own Tropical Ginger Rum,SINGLE,ALCOHOL,,2,$26.00,$26.00
Devil's Own Wicked Overproof,SINGLE,ALCOHOL,,9,$117.00,$117.00
Diplomatico Ambassador,SINGLE,ALCOHOL,,2,$75.00,$150.00
District 7 Sauvignon Blanc,GLASS,WINE,,619,"$5,308.10","$5,571.00"
District 7 Sauvignon Blanc,BOTTLE,WINE,,9,$302.00,$306.00
District 7 Sauvignon Blanc Bottle,,WINE,,15,$500.00,$510.00
Don Julio Anejo,SINGLE,ALCOHOL,,67,"$1,012.00","$1,012.00"
Don Julio Anejo,DOUBLE,ALCOHOL,,3,$63.00,$63.00
Don Julio Blanco,SINGLE,ALCOHOL,,136,"$1,748.50","$1,748.50"
Don Julio Blanco,DOUBLE,ALCOHOL,,9,$172.00,$172.00
Don Pancho Origines 18,SINGLE,ALCOHOL,,1,$0.00,$19.00
Don Pancho Origines 8,SINGLE,ALCOHOL,,2,$16.00,$16.00
Don Q 151,SINGLE,ALCOHOL,,3,$27.00,$27.00
Don Q Gold,SINGLE,ALCOHOL,,5,$30.00,$30.00
Don Q Gran Reserva Anejo,SINGLE,ALCOHOL,,22,$290.00,$290.00
Don Q Spiced Rum,SINGLE,ALCOHOL,,2,$14.00,$14.00
Dragon's Bite,SINGLE,ALCOHOL,,1699,"$19,617.40","$20,388.00"
Dragon's Bite,DOUBLE,ALCOHOL,,9,$167.00,$171.00
Drake's IPA - Draft,,DRAFT BEER,,804,"$6,046.40","$6,432.00"
Easter Island Mug,,MERCH-- MUGS,,25,$375.00,$375.00
Easter Island TShirt,,MERCH--TSHIRTS,,17,$340.00,$340.00
Edamame Bowl,,FOOD,,2240,"$12,680.70","$12,890.00"
El Dorado 12 Year,SINGLE,ALCOHOL,,3,$30.00,$30.00
El Dorado 15 Year,SINGLE,ALCOHOL,,7,$105.00,$105.00
El Dorado 8yr,SINGLE,ALCOHOL,,3,$24.00,$24.00
El Silencio Mezcal,SINGLE,ALCOHOL,,30,$330.00,$330.00
Espolon Reposado,SINGLE,ALCOHOL,,46,$349.00,$349.00
Espresso,DOUBLE,NON ALCOHOL,,5,$25.00,$25.00
Espresso,SINGLE,NON ALCOHOL,,19,$76.00,$76.00
Facundo Eximo,,ALCOHOL,,2,$32.00,$32.00
Facundo Paraiso XA,SINGLE,ALCOHOL,,4,$240.00,$240.00
