Item,Size,Report Category,SKU,Qty,Net,Gross
Freaky Tiki,,ALCOHOL,,1279,"$8,913.80 ","$8,953.00 "
Hibiscus Lei,,ALCOHOL,,838,"$5,775.00 ","$5,866.00 "
Oogie Boogie Brew,,ALCOHOL,,19,$90.00 ,$114.00 
POG Spritzer,,ALCOHOL,,1190,"$8,307.25 ","$8,330.00 "
Pineapple Surf,,ALCOHOL,,1760,"$12,299.20 ","$12,320.00 "
Roy  Roger,,NON ALCOHOL,,28,$112.00 ,$112.00 
Shirley Temple,,NON ALCOHOL,,407,"$1,627.60 ","$1,628.00 "
Strawberry Lemonade,,NON ALCOHOL,,54,$270.00 ,$270.00 
Virgin Drink,,ALCOHOL,,358,"$2,148.00 ","$2,148.00 "
Total,,,,5933,"$39,542.85 ","$39,741.00 "
