Item,Size,Report Category,SKU,Qty,Net,Gross
Aperol,SINGLE,ALCOHOL,,3,$26.00 ,$26.00 
Bailey's Irish Cream,SINGLE,ALCOHOL,,18,$121.50 ,$121.50 
Campari,SINGLE,ALCOHOL,,11,$77.00 ,$77.00 
Grand Marnier,SINGLE,ALCOHOL,,9,$77.50 ,$77.50 
Hennessey VS,SINGLE,ALCOHOL,,34,$362.00 ,$362.00 
Hennessey VS,DOUBLE,ALCOHOL,,4,$66.00 ,$66.00 
Jacques Bonet Brandy,SINGLE,ALCOHOL,,5,$45.00 ,$45.00 
Kahlua,SINGLE,ALCOHOL,,11,$66.00 ,$66.00 
Kahlua,DOUBLE,ALCOHOL,,1,$9.00 ,$9.00 
Licor 43,SINGLE,ALCOHOL,,2,$12.00 ,$12.00 
Luxardo Amaretto,SINGLE,ALCOHOL,,17,$128.50 ,$129.50 
Luxardo Amaretto,DOUBLE,ALCOHOL,,1,$12.00 ,$12.00 
Mekong,SINGLE,ALCOHOL,,1,$6.00 ,$6.00 
Total,,,,117,"$1,008.50 ","$1,009.50 "
