Item,Size,Report Category,SKU,Qty,Net,Gross
Appleton 1994 Rum Hearts,SINGLE,ALCOHOL,,2,$124.00 ,$124.00 
Appleton 8 Year,SINGLE,ALCOHOL,,13,$123.00 ,$123.00 
Appleton 8 Year,DOUBLE,ALCOHOL,,2,$28.00 ,$28.00 
Appleton Estate 12 Year,SINGLE,ALCOHOL,,22,$258.50 ,$260.00 
Appleton Estate 21 Year,SINGLE,ALCOHOL,,5,$169.00 ,$169.00 
Appleton Estate Rare Cask,SINGLE,ALCOHOL,,1,$20.00 ,$20.00 
Appleton Signature Blend,SINGLE,ALCOHOL,,44,$333.00 ,$333.00 
Appleton Signature Blend,DOUBLE,ALCOHOL,,6,$72.00 ,$72.00 
Bacardi 4 year,SINGLE,ALCOHOL,,16,$100.00 ,$100.00 
Bacardi 4 year,DOUBLE,ALCOHOL,,2,$20.00 ,$20.00 
Bacardi 8 Year,SINGLE,ALCOHOL,,9,$68.00 ,$68.00 
Bacardi Silver,SINGLE,ALCOHOL,,10,$72.00 ,$72.00 
Bacardi Spiced,SINGLE,ALCOHOL,,4,$40.00 ,$40.00 
Banks 7,SINGLE,ALCOHOL,,2,$16.50 ,$16.50 
Banks Island 5,SINGLE,ALCOHOL,,1,$9.00 ,$10.00 
Barbancourt 8yr,SINGLE,ALCOHOL,,8,$64.00 ,$64.00 
Barbary Coast 100,SINGLE,ALCOHOL,,3,$30.00 ,$30.00 
Barrell Private Release J860,SINGLE,ALCOHOL,,3,$75.00 ,$75.00 
Batiste Rhum Gold,SINGLE,ALCOHOL,,4,$32.00 ,$32.00 
Bayou Select,SINGLE,ALCOHOL,,1,$9.00 ,$9.00 
Black Tot Rum,SINGLE,ALCOHOL,,2,$24.00 ,$28.00 
Botran 1893,SINGLE,ALCOHOL,,1,$8.00 ,$8.00 
Brugal 1888,SINGLE,ALCOHOL,,10,$90.00 ,$90.00 
Captain Morgan,SINGLE,ALCOHOL,,1,$7.00 ,$7.00 
Chairman's Reserve 1931,SINGLE,ALCOHOL,,3,$66.00 ,$66.00 
Chairman's Reserve Forgotten Casks St Lucia,SINGLE,ALCOHOL,,7,$79.00 ,$79.00 
Clement 10 year,,ALCOHOL,,12,$201.00 ,$201.00 
Clement VSOP,SINGLE,ALCOHOL,,23,$229.00 ,$230.00 
Cutwater Three Sheets Aged,SINGLE,ALCOHOL,,1,$8.00 ,$8.00 
Denizen Aged White,SINGLE,ALCOHOL,,20,$127.20 ,$128.00 
Denizen Aged White,DOUBLE,ALCOHOL,,6,$60.00 ,$60.00 
Denizen Merchant reserve,SINGLE,ALCOHOL,,49,$397.50 ,$397.50 
Denizen Vatted Dark,SINGLE,ALCOHOL,,20,$158.00 ,$160.00 
Devil's Own Coconut Rum,SINGLE,ALCOHOL,,2,$26.00 ,$26.00 
Devil's Own Hibiscus,SINGLE,ALCOHOL,,10,$130.00 ,$130.00 
Devil's Own Tropical Ginger Rum,SINGLE,ALCOHOL,,2,$26.00 ,$26.00 
Devil's Own Wicked Overproof,SINGLE,ALCOHOL,,15,$195.00 ,$195.00 
Diplomatico Ambassador,SINGLE,ALCOHOL,,4,$225.00 ,$300.00 
Don Pancho Origines 18,SINGLE,ALCOHOL,,1,$0.00 ,$19.00 
Don Pancho Origines 8,SINGLE,ALCOHOL,,2,$16.00 ,$16.00 
Don Q 151,SINGLE,ALCOHOL,,8,$72.00 ,$72.00 
Don Q Cristal,SINGLE,ALCOHOL,,1,$6.00 ,$6.00 
Don Q Gold,SINGLE,ALCOHOL,,11,$66.00 ,$66.00 
Don Q Gran Reserva Anejo,SINGLE,ALCOHOL,,25,$333.00 ,$333.00 
Don Q Spiced Rum,SINGLE,ALCOHOL,,17,$119.00 ,$119.00 
El Dorado 12 Year,SINGLE,ALCOHOL,,8,$82.00 ,$82.00 
El Dorado 15 Year,SINGLE,ALCOHOL,,15,$225.00 ,$225.00 
El Dorado 5 Year,SINGLE,ALCOHOL,,1,$7.00 ,$7.00 
El Dorado 8yr,SINGLE,ALCOHOL,,11,$90.00 ,$90.00 
Facundo Eximo,,ALCOHOL,,3,$48.50 ,$48.50 
Facundo Paraiso XA,SINGLE,ALCOHOL,,4,$240.00 ,$240.00 
Flor De Cana 12yr,SINGLE,ALCOHOL,,26,$260.00 ,$260.00 
Flor de Cana 25 Year,SINGLE,ALCOHOL,,6,$208.00 ,$208.00 
Goslings 151,SINGLE,ALCOHOL,,8,$61.60 ,$64.00 
Goslings Black Seal,SINGLE,ALCOHOL,,8,$56.00 ,$56.00 
Hamilton 86 Guyana,SINGLE,ALCOHOL,,12,$96.00 ,$96.00 
Hamilton Black Pot Still,SINGLE,ALCOHOL,,2,$16.00 ,$16.00 
