Item,Size,Report Category,SKU,Qty,Net,Gross
Casamigos Rep,SINGLE,ALCOHOL,,20,$254.00 ,$254.00 
Cazadores Reposado,,ALCOHOL,,23,$170.50 ,$170.50 
Cazadores Reposado,SINGLE,ALCOHOL,,434,"$3,417.25 ","$3,419.50 "
Cazadores Reposado,DOUBLE,ALCOHOL,,26,$298.00 ,$298.00 
Convite Mezcal,SINGLE,ALCOHOL,,5,$54.00 ,$54.00 
Don Julio Anejo,SINGLE,ALCOHOL,,362,"$5,203.10 ","$5,204.50 "
Don Julio Anejo,DOUBLE,ALCOHOL,,26,$547.00 ,$547.00 
Don Julio Blanco,SINGLE,ALCOHOL,,543,"$6,780.38 ","$6,783.50 "
Don Julio Blanco,DOUBLE,ALCOHOL,,17,$320.00 ,$320.00 
El Jimador Blanco,SINGLE,ALCOHOL,,21,$220.00 ,$220.00 
El Jimador Blanco,DOUBLE,ALCOHOL,,1,$15.00 ,$15.00 
El Silencio Mezcal,SINGLE,ALCOHOL,,155,"$1,644.00 ","$1,644.00 "
El Silencio Mezcal,DOUBLE,ALCOHOL,,5,$75.00 ,$75.00 
Espolon Reposado,SINGLE,ALCOHOL,,126,$961.00 ,$961.00 
Espolon Reposado,,ALCOHOL,,1,$9.50 ,$9.50 
Espolon Reposado,DOUBLE,ALCOHOL,,12,$132.00 ,$132.00 
Hornitos Reposado,,ALCOHOL,,16,$119.00 ,$119.00 
Hornitos Reposado,SINGLE,ALCOHOL,,186,"$1,351.00 ","$1,351.00 "
Hornitos Reposado,DOUBLE,ALCOHOL,,11,$123.00 ,$123.00 
Luna Azul,SINGLE,ALCOHOL,,1121,"$8,195.90 ","$8,221.00 "
Luna Azul,DOUBLE,ALCOHOL,,115,"$1,285.80 ","$1,288.00 "
Patron Silver,SINGLE,ALCOHOL,,654,"$8,780.00 ","$8,780.00 "
Patron Silver,DOUBLE,ALCOHOL,,50,$968.00 ,$968.00 
Sauza Hornitos Reposado,,ALCOHOL,,5,$35.00 ,$35.00 
Total,,,,3935,"$40,958.43 ","$40,992.50 "
