Item,Size,Report Category,SKU,Qty,Net,Gross
Absolut Citron,SINGLE,ALCOHOL,,43,$313.00 ,$313.00 
Absolut Citron,DOUBLE,ALCOHOL,,5,$55.00 ,$55.00 
Grey Goose,SINGLE,ALCOHOL,,354,"$4,572.00 ","$4,578.00 "
Grey Goose,DOUBLE,ALCOHOL,,25,$454.00 ,$454.00 
Hangar 1,SINGLE,ALCOHOL,,7,$69.00 ,$69.00 
Ketel One,SINGLE,ALCOHOL,,295,"$2,628.00 ","$2,628.00 "
Ketel One,DOUBLE,ALCOHOL,,26,$310.80 ,$312.00 
Luna Sea,SINGLE,ALCOHOL,,828,"$6,623.75 ","$6,632.00 "
Luna Sea,DOUBLE,ALCOHOL,,71,$751.40 ,$753.50 
Ocean Vodka,SINGLE,ALCOHOL,,24,$250.00 ,$250.00 
Ocean Vodka,DOUBLE,ALCOHOL,,5,$75.00 ,$75.00 
Seagrams,DOUBLE,ALCOHOL,,8,$86.00 ,$86.00 
Seagrams,SINGLE,ALCOHOL,,39,$304.50 ,$304.50 
Tito's,SINGLE,ALCOHOL,,1268,"$10,811.20 ","$10,838.00 "
Tito's,DOUBLE,ALCOHOL,,85,"$1,026.40 ","$1,030.00 "
Total,,,,3083,"$28,330.05 ","$28,378.00 "
